,comments,labels
0,",comment_id,comment_url,commenter_id,commenter_url,commenter_name,commenter_meta,comment_text,comment_time,comment_image,comment_reactors,comment_reactions,comment_reaction_count,replies",N
1,",,acebook.com/,,acebook.com/Rimalapn?fref=nf&rc=p&refid=&__tn__=R,RM X Malapitn,,Wisdom the albatraoz:,-- ::,edia.tenor.co/images/bafabdcbfbddbbfaa/tenor.gif?itemid=&fbclid=IwAReXKFNTlfhisBOHsHBMpIkWibnjJvuIyITDdNrubJEQVBVJY,[],,,[]",N
2,",,acebook.com/,,acebook.com/katiejardine?fref=nf&rc=p&refid=&__tn__=R,Katie Jardine,,She hasn’t been killed by humans, directly or otherwise.,-- ::,,[],,,[]",0
3,",,acebook.com/,,acebook.com/profile.php?id=&fref=nf&rc=p&refid=&__tn__=R,Luis Reyna,,she is pushing the boundaries of what we thought birds could do. today she just published her autobiography, Caw Caw: Caw Caw, Caw Caw Caw, an impressive feat for someone who has no fingers to type with,-- ::,,[],,,[{'comment_id': '', 'comment_url': 'acebook.com/', 'commenter_id': '', 'commenter_url': 'acebook.com/melissa.cheyne.?fref=nf&rc=p&__tn__=R', 'commenter_name': 'Melissa Lee', 'commenter_meta': None, 'comment_text': Luis Reyna where's your auto, 'comment_time': datetime.datetime(, , , , , ), 'comment_image': None, 'comment_reactors': [], 'comment_reactions': None, 'comment_reaction_count': None}]",1
4,",,acebook.com/,,acebook.com/melissa.cheyne.?fref=nf&rc=p&__tn__=R,Melissa Lee,,Luis Reyna where's your auto,-- ::,,[],,,",N
5,",,acebook.com/,,acebook.com/grace.reddell?fref=nf&rc=p&refid=&__tn__=R,Grace Renée Reddell,,🌈💜🌈,-- ::,,[],,,[]",N
6,",,acebook.com/,,acebook.com/HECTOR?fref=nf&rc=p&refid=&__tn__=R,Hector Fernandez,,Why wouldn’t they survive a tsunami if they are birds?!...,-- ::,,[],,,[{'comment_id': '', 'comment_url': 'acebook.com/', 'commenter_id': '', 'commenter_url': 'acebook.com/juanrafaelpalomo?fref=nf&rc=p&__tn__=R', 'commenter_name': 'Tunko Maclovio', 'commenter_meta': None, 'comment_text': 'Hector Fernandez Simon', 'comment_time': datetime.datetime(, , , , , ), 'comment_image': None, 'comment_reactors': [], 'comment_reactions': None, 'comment_reaction_count': None}, {'comment_id': '', 'comment_url': 'acebook.com/', 'commenter_id': '', 'commenter_url': 'acebook.com/melissa.cheyne.?fref=nf&rc=p&__tn__=R', 'commenter_name': 'Melissa Lee', 'commenter_meta': None, 'comment_text': 'Hector Fernandez probably messes with thier food supply', 'comment_time': datetime.datetime(, , , , , ), 'comment_image': None, 'comment_reactors': [], 'comment_reactions': None, 'comment_reaction_count': None}, {'comment_id': '', 'comment_url': 'acebook.com/', 'commenter_id': '', 'commenter_url': 'acebook.com/robert.lungal.?fref=nf&rc=p&__tn__=R', 'commenter_name': 'Robert Lungal', 'commenter_meta': None, 'comment_text': 'Washes away nesting sites?', 'comment_time': datetime.datetime(, , , , , ), 'comment_image': None, 'comment_reactors': [], 'comment_reactions': None, 'comment_reaction_count': None}, {'comment_id': '', 'comment_url': 'acebook.com/', 'commenter_id': '', 'commenter_url': 'acebook.com/tim.j.huff?fref=nf&rc=p&__tn__=R', 'commenter_name': 'Tim Huff Jr', 'commenter_meta': None, 'comment_text': 'Hector Fernandez you understand how hard it is for them to take off, right??', 'comment_time': datetime.datetime(, , , , , ), 'comment_image': None, 'comment_reactors': [], 'comment_reactions': None, 'comment_reaction_count': None}]",0
7,",,acebook.com/,,acebook.com/juanrafaelpalomo?fref=nf&rc=p&__tn__=R,Tunko Maclovio,,Hector Fernandez Simon,-- ::,,[],,,",N
8,",,acebook.com/,,acebook.com/melissa.cheyne.?fref=nf&rc=p&__tn__=R,Melissa Lee,,Hector Fernandez probably messes with thier food supply,-- ::,,[],,,",N
9,",,acebook.com/,,acebook.com/robert.lungal.?fref=nf&rc=p&__tn__=R,Robert Lungal,,Washes away nesting sites?,-- ::,,[],,,",N
